OrderID,Clinic_Name,PrevClinName2,City,State,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,No_of_IVF_cycles_in_2012,TotBankingCycles,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTripLBRate1,FshNDTripLBRate2,FshNDTripLBRate3,FshNDTripLBRate4,FshNDTripLBRate5,FshNDTripLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTripLB_TransRate1,FshNDTripLB_TransRate2,FshNDTripLB_TransRate3,FshNDTripLB_TransRate4,FshNDTripLB_TransRate5,FshNDTripLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,FshNDPregnancies1,FshNDPregnancies2,FshNDPregnancies3,FshNDPregnancies4,FshNDPregnancies5,FshNDPregnancies6,FshNDSnglLB_PregRate1,FshNDSnglLB_PregRate2,FshNDSnglLB_PregRate3,FshNDSnglLB_PregRate4,FshNDSnglLB_PregRate5,FshNDSnglLB_PregRate6,FshNDTripLB_PregRate1,FshNDTripLB_PregRate2,FshNDTripLB_PregRate3,FshNDTripLB_PregRate4,FshNDTripLB_PregRate5,FshNDTripLB_PregRate6,FshNDLvBirths_PregRate1,FshNDLvBirths_PregRate2,FshNDLvBirths_PregRate3,FshNDLvBirths_PregRate4,FshNDLvBirths_PregRate5,FshNDLvBirths_PregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTripLB_TransRate1,ThwNDTripLB_TransRate2,ThwNDTripLB_TransRate3,ThwNDTripLB_TransRate4,ThwNDTripLB_TransRate5,ThwNDTripLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
222,MICHIGAN COMPREHENSIVE FERTILITY CENTER,,DEARBORN,MICHIGAN,100%,79%,0%,0%,0%,10%,19%,34%,12%,2%,48%,7%,9%,7%,24%,163,0,"David M. Magyar, DO",70,13,14,9,4,1,18.6,13-Feb,14-Jan,9-Jan,4-Mar,1-Jan,2,2,2.6,2.8,3,,29.2,15,24.1,0,0 / 3,,0,0 / 8,0 / 9,0 / 7,0 / 1,,25.7,13-Jan,14-Jun,0 / 9,0 / 4,0 / 1,0,0 / 13,0 / 14,0 / 9,0 / 4,0 / 1,34.3,13-Feb,14-Jun,0 / 9,0 / 4,0 / 1,35.7,13-Feb,14-Jun,0 / 9,0 / 4,0 / 1,52,10,11,8,1,0,34.6,10-Jan,11-Jun,0 / 8,0 / 1,,0,0 / 10,0 / 11,0 / 8,0 / 1,,46.2,10-Feb,11-Jun,0 / 8,0 / 1,,48.1,10-Feb,11-Jun,0 / 8,0 / 1,,25,2,6,0,0,0,72,2-Jan,6-Jun,,,,0,0 / 2,0 / 6,,,,96,2-Feb,6-Jun,,,,13,5,4,1,0,0,10,4,3,1,0,0,1,1.3,,0.5,,,2,1.3,2,2,,,25,0 / 5,0 / 6,2-Jan,,,10-Feb,0 / 4,0 / 3,0 / 1,,,0 / 10,0 / 4,0 / 3,0 / 1,,,10-Mar,0 / 4,0 / 3,0 / 1,,,10-Apr,0 / 4,0 / 3,1-Jan,,,11,18,9,15,2,1.8,18-Apr,14.8,9-Apr,15-Apr,9-Apr,15-Apr,9-Apr,15-Apr,Michigan Comprehensive Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
223,"MICHIGAN REPRODUCTIVE & IVF CENTER, PC",,GRAND RAPIDS,MICHIGAN,>99%,83%,0%,1%,1%,16%,13%,20%,16%,3%,67%,6%,4%,6%,32%,945,6,"William G. Dodds, MD",312,80,70,17,6,0,10.9,11.3,18.6,17-Jun,6-Feb,,2.2,2.5,3.2,3.5,5.5,,29.3,19.8,20.1,2.6,0,,1.9,0,0,0 / 11,0 / 4,,24,20,14.3,0 / 17,0 / 6,,0.6,1.3,2.9,0 / 17,0 / 6,,36.5,26.3,24.3,0 / 17,0 / 6,,41.3,35,34.3,17-Jan,6-Jan,,273,68,54,11,4,0,27.5,23.5,18.5,0 / 11,0 / 4,,0.7,1.5,3.7,0 / 11,0 / 4,,41.8,30.9,31.5,0 / 11,0 / 4,,47.3,41.2,44.4,11-Jan,4-Jan,,129,28,24,1,1,0,58.1,57.1,41.7,0 / 1,0 / 1,,1.6,3.6,8.3,0 / 1,0 / 1,,88.4,75,70.8,0 / 1,0 / 1,,215,61,42,4,1,1,212,58,41,4,1,1,2.3,3.1,2.2,1,,,2.2,2.4,2.8,2.5,2,1,15.6,13.4,22.1,10-Jan,0 / 2,0 / 1,21.2,17.2,24.4,0 / 4,0 / 1,0 / 1,0.5,0,0,0 / 4,0 / 1,0 / 1,25.9,22.4,31.7,0 / 4,0 / 1,0 / 1,32.1,27.6,43.9,4-Jan,0 / 1,0 / 1,50,80,40,78,2,2.2,26.6,12.6,27.5,15.4,32.5,19.2,45,25.6,"Michigan Reproductive & IVF Center, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
224,IVF MICHIGAN,,ROCHESTER HILLS,MICHIGAN,100%,87%,2%,<1%,13%,13%,22%,38%,12%,18%,41%,15%,3%,15%,28%,1057,16,"Mostafa I. Abuzeid, MD",338,141,110,66,27,11,6.8,8.5,7.3,16.7,11.1,11-Feb,2,2,2.3,2.1,2.3,1.5,39.2,31.6,16.8,13.6,6.5,9-Jan,10.3,7.8,2.9,3.8,0 / 17,3-Jan,31.4,24.1,17.3,12.1,3.7,11-Jan,0.6,0,0,0,0,0 / 11,45.6,33.3,20.9,12.1,3.7,11-Jan,50.9,41.1,29.1,16.7,7.4,11-Jan,285,115,87,38,20,6,37.2,29.6,21.8,21.1,5,6-Jan,0.7,0,0,0,0,0 / 6,54,40.9,26.4,21.1,5,6-Jan,60.4,50.4,36.8,28.9,10,6-Jan,172,58,32,11,2,1,61.6,58.6,59.4,11-Aug,2-Jan,1-Jan,1.2,0,0,0 / 11,0 / 2,0 / 1,89.5,81,71.9,11-Aug,2-Jan,1-Jan,127,41,26,10,7,7,115,41,20,10,4,6,2.2,1.8,1.4,5,0.8,3,2,2,2.2,2.3,2.8,2,35.7,30.1,14,17.4,11-Jan,12-Jan,32.2,26.8,20,10-Feb,0 / 4,6-Jan,0,0,0,0 / 10,0 / 4,0 / 6,43.5,31.7,20,10-Feb,0 / 4,6-Jan,57.4,61,40,10-May,4-Jan,6-Jan,77,53,62,44,2,2,51.2,16.9,24.2,15.9,58.1,22.7,66.1,29.5,IVF Michigan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
225,WAYNE STATE UNIVERSITY PHYSICIAN GROUP,,SOUTHFIELD,MICHIGAN,100%,97%,0%,2%,2%,12%,17%,15%,15%,4%,41%,12%,14%,8%,16%,205,0,"Elizabeth E. Puscheck, MD",67,22,20,10,1,0,0,9.1,0,0 / 10,0 / 1,,2.2,2.8,2.8,3.3,4,,29.8,11.1,24.5,15,4-Jan,,1.6,0 / 18,0 / 17,0 / 6,0 / 1,,26.9,18.2,20,10-Feb,0 / 1,,0,0,0,0 / 10,0 / 1,,41.8,18.2,40,10-Feb,0 / 1,,44.8,22.7,50,10-Feb,1-Jan,,63,19,19,6,1,0,28.6,19-Apr,19-Apr,6-Feb,0 / 1,,0,0 / 19,0 / 19,0 / 6,0 / 1,,44.4,19-Apr,19-Aug,6-Feb,0 / 1,,47.6,19-May,19-Oct,6-Feb,1-Jan,,30,5,10,2,1,0,60,5-Apr,10-Apr,2-Feb,0 / 1,,0,0 / 5,0 / 10,0 / 2,0 / 1,,93.3,5-Apr,10-Aug,2-Feb,0 / 1,,38,22,4,3,0,1,36,19,4,3,0,1,1.6,1.4,0.8,1.5,,,2.8,2.9,3.5,2.7,,3,18.6,12.7,0 / 14,0 / 8,,0 / 3,27.8,19-Apr,0 / 4,0 / 3,,0 / 1,0,0 / 19,0 / 4,0 / 3,,0 / 1,36.1,19-May,0 / 4,0 / 3,,0 / 1,55.6,19-Jun,0 / 4,0 / 3,,0 / 1,13,4,13,4,1.9,3,44,12-Jan,13-May,0 / 4,13-Aug,0 / 4,13-Aug,4-Feb,Wayne State University Physician Group,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
226,HENRY FORD REPRODUCTIVE MEDICINE,,TROY,MICHIGAN,100%,56%,0%,0%,4%,15%,8%,8%,14%,14%,41%,13%,17%,5%,24%,88,2,"Kenneth Ginsburg, MD",26,17,8,2,3,1,15.4,17-Jan,8-Feb,2-Jan,0 / 3,0 / 1,2.2,2.4,2.2,2,,,30,12.1,13-Mar,0 / 2,,,18-Jan,0 / 13,0 / 6,0 / 1,,,23.1,17-Feb,8-Jan,0 / 2,0 / 3,0 / 1,3.8,0 / 17,0 / 8,0 / 2,0 / 3,0 / 1,30.8,17-Mar,8-Feb,0 / 2,0 / 3,0 / 1,30.8,17-Mar,8-Feb,0 / 2,0 / 3,0 / 1,18,14,6,1,0,0,18-Jun,14-Feb,6-Jan,0 / 1,,,18-Jan,0 / 14,0 / 6,0 / 1,,,18-Aug,14-Mar,6-Feb,0 / 1,,,18-Aug,14-Mar,6-Feb,0 / 1,,,8,3,2,0,0,0,8-Jun,3-Feb,2-Jan,,,,8-Jan,0 / 3,0 / 2,,,,8-Aug,3-Mar,2-Feb,,,,11,8,4,1,0,1,11,8,4,1,0,1,1.2,1.6,2,,0,,2.1,1.6,1.5,2,,3,13,0 / 13,0 / 6,0 / 2,,0 / 3,11-Jan,0 / 8,0 / 4,0 / 1,,0 / 1,0 / 11,0 / 8,0 / 4,0 / 1,,0 / 1,11-Jan,0 / 8,0 / 4,0 / 1,,0 / 1,11-Apr,0 / 8,0 / 4,0 / 1,,0 / 1,1,3,1,3,2,2,2-Jan,6-Jan,1-Jan,3-Jan,1-Jan,3-Jan,1-Jan,3-Feb,Henry Ford Reproductive Medicine,Yes,No,Yes,No,Yes,Yes,Yes,0,MI
227,"BRENDA L. MOSKOVITZ, MD, PC",,TROY,MICHIGAN,100%,100%,0%,0%,0%,46%,9%,36%,36%,0%,64%,0%,9%,18%,55%,11,0,"Brenda L. Moskovitz, MD",5,0,3,2,0,0,0 / 5,,0 / 3,0 / 2,,,1.4,,1,2.5,,,7-Apr,,3-Jan,5-Feb,,,5-Mar,,1-Jan,0 / 2,,,5-Apr,,0 / 3,0 / 2,,,0 / 5,,0 / 3,0 / 2,,,5-Apr,,0 / 3,2-Jan,,,5-Apr,,3-Jan,2-Jan,,,5,0,3,2,0,0,5-Apr,,0 / 3,0 / 2,,,0 / 5,,0 / 3,0 / 2,,,5-Apr,,0 / 3,2-Jan,,,5-Apr,,3-Jan,2-Jan,,,4,0,1,1,0,0,4-Apr,,0 / 1,0 / 1,,,0 / 4,,0 / 1,0 / 1,,,4-Apr,,0 / 1,1-Jan,,,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,2,,,,,,2-Jan,,,,,,1-Jan,,,,,,0 / 1,,,,,,1-Jan,,,,,,1-Jan,,,,,,0,0,0,0,,,,,,,,,,,"Brenda L. Moskovitz, MD, PC",Yes,No,Yes,No,Yes,Yes,Pending,0,MI
228,REPRODUCTIVE MEDICINE ASSOCIATES OF MICHIGAN,,TROY,MICHIGAN,100%,53%,0%,0%,<1%,9%,18%,16%,17%,7%,33%,22%,7%,14%,13%,383,20,"Brad T. Miller, MD",91,63,39,8,8,5,1.1,4.8,5.1,8-Jan,8-Feb,5-Jan,2,2.4,2.7,2.5,2.7,2.7,41.7,21.6,12.1,15-Jan,16-Jan,0 / 8,21.4,3.8,0,0 / 5,0 / 6,0 / 3,37.4,19,12.8,0 / 8,8-Jan,0 / 5,1.1,0,0,0 / 8,0 / 8,0 / 5,53.8,28.6,15.4,0 / 8,8-Jan,0 / 5,57.1,39.7,23.1,8-Jan,8-Jan,5-Jan,88,57,34,6,6,3,38.6,21.1,14.7,0 / 6,6-Jan,0 / 3,1.1,0,0,0 / 6,0 / 6,0 / 3,55.7,31.6,17.6,0 / 6,6-Jan,0 / 3,59.1,43.9,26.5,6-Jan,6-Jan,3-Jan,52,25,9,1,1,1,65.4,48,9-May,0 / 1,1-Jan,0 / 1,1.9,0,0 / 9,0 / 1,0 / 1,0 / 1,94.2,72,9-Jun,0 / 1,1-Jan,0 / 1,53,21,13,13,1,0,48,21,10,12,1,0,1.9,1.8,1.3,1.7,,0,1.8,1.7,1.9,1.8,2,,28.4,31.4,19-Sep,14.3,0 / 2,,27.1,33.3,10-Feb,12-Jan,0 / 1,,0,0,0 / 10,0 / 12,0 / 1,,35.4,38.1,10-Apr,12-Feb,0 / 1,,52.1,52.4,10-Jun,12-Feb,0 / 1,,24,24,23,16,2.1,2.1,38.8,33.3,30.4,16-Apr,47.8,16-Jun,65.2,16-Aug,Reproductive Medicine Associates of Michigan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
229,"MICHIGAN CENTER FOR FERTILITY AND WOMEN'S HEALTH, PLC",,WARREN,MICHIGAN,100%,95%,0%,0%,20%,16%,4%,27%,3%,6%,48%,4%,20%,5%,22%,187,9,"Carole L. Kowalczyk, MD",66,36,11,10,2,0,1.5,5.6,0 / 11,10-Mar,0 / 2,,2.1,2.1,1.7,1.3,3,,38.5,25.8,12-Apr,4-Jan,0 / 3,,0,0,0 / 5,0 / 1,0 / 1,,27.3,36.1,0 / 11,10-Jan,0 / 2,,0,0,0 / 11,0 / 10,0 / 2,,45.5,38.9,11-Jan,10-Jan,0 / 2,,48.5,41.7,11-Mar,10-Jan,0 / 2,,62,31,7,3,1,0,29,41.9,0 / 7,3-Jan,0 / 1,,0,0,0 / 7,0 / 3,0 / 1,,48.4,45.2,7-Jan,3-Jan,0 / 1,,51.6,48.4,7-Mar,3-Jan,0 / 1,,32,15,3,1,0,0,56.3,13 / 15,0 / 3,1-Jan,,,0,0 / 15,0 / 3,0 / 1,,,93.8,14 / 15,3-Jan,1-Jan,,,20,10,6,2,0,2,19,10,6,2,0,2,1.5,1.3,0.9,1,,,1.9,1.9,1.3,2,,2,27.8,19-Oct,8-May,4-Feb,,0 / 4,19-Apr,10-Mar,6-Feb,2-Feb,,0 / 2,0 / 19,0 / 10,0 / 6,0 / 2,,0 / 2,19-May,10-May,6-Mar,2-Feb,,0 / 2,19-Sep,10-Jul,6-Apr,2-Feb,,0 / 2,11,2,11,1,2.2,2,45.8,2-Feb,11-Mar,0 / 1,11-Jun,1-Jan,11-Jul,1-Jan,"Michigan Center for Fertility and Women's Health, PLC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
230,"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA",,MAPLE GROVE,MINNESOTA,100%,51%,0%,0%,2%,8%,53%,1%,11%,4%,37%,6%,8%,7%,22%,219,0,"Randle S. Corfman, MD, PhD",105,28,7,2,0,0,1.9,17.9,7-Feb,2-Jan,,,1.9,1.9,1.6,2,,,47.9,40.5,8-Feb,0 / 2,,,3.2,0,4-Jan,0 / 1,,,30.5,17.9,0 / 7,0 / 2,,,0,0,0 / 7,0 / 2,,,56.2,35.7,7-Jan,0 / 2,,,62.9,39.3,7-Jan,0 / 2,,,98,22,5,1,0,0,32.7,22.7,0 / 5,0 / 1,,,0,0,0 / 5,0 / 1,,,60.2,45.5,5-Jan,0 / 1,,,67.3,50,5-Jan,0 / 1,,,66,11,1,0,0,0,48.5,11-May,0 / 1,,,,0,0 / 11,0 / 1,,,,89.4,11-Oct,1-Jan,,,,27,7,4,3,0,1,27,7,4,3,0,1,3.4,7,,,,,1.6,1.6,1.8,1.3,,1,16.3,11-May,7-Feb,0 / 4,,0 / 1,18.5,7-Apr,4-Jan,0 / 3,,0 / 1,0,0 / 7,0 / 4,0 / 3,,0 / 1,18.5,7-Apr,4-Jan,0 / 3,,0 / 1,33.3,7-Apr,4-Feb,0 / 3,,0 / 1,24,11,24,11,1.9,1.5,60,17-Jan,33.3,11-Jan,66.7,11-Jan,83.3,11-Feb,"The Midwest Center for Reproductive Health, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MN
231,CENTER FOR REPRODUCTIVE MEDICINE,ADVANCED REPRODUCTIVE TECHNOLOGIES,MINNEAPOLIS,MINNESOTA,100%,59%,0%,2%,3%,14%,12%,29%,11%,5%,39%,4%,15%,8%,17%,983,15,"Lisa Erickson, MD",369,159,132,42,13,4,4.9,5,8.3,21.4,13-Apr,0 / 4,1.7,1.8,2,2.3,2.9,2.5,50.3,36.8,27.6,16.4,5,0 / 10,15.8,5.7,2.9,0,0 / 7,0 / 3,36,29.6,22.7,7.1,13-Jan,0 / 4,0.3,0,0,2.4,0 / 13,0 / 4,53.9,40.3,31.1,14.3,13-Jan,0 / 4,58.5,52.8,42.4,19,13-Jan,0 / 4,331,143,112,29,7,4,40.2,32.9,26.8,10.3,7-Jan,0 / 4,0.3,0,0,3.4,0 / 7,0 / 4,60.1,44.8,36.6,20.7,7-Jan,0 / 4,65.3,58.7,50,27.6,7-Jan,0 / 4,216,84,56,8,1,0,61.6,56,53.6,8-Mar,1-Jan,,0.5,0,0,8-Jan,0 / 1,,92.1,76.2,73.2,8-Jun,1-Jan,,69,32,13,9,2,1,65,30,10,8,2,1,1.7,1.8,2,2.7,1,1,1.9,1.8,1.6,1.5,1,1,49.6,30.9,16-Aug,12-Mar,0 / 2,0 / 1,36.9,36.7,10-Apr,8-Feb,0 / 2,0 / 1,3.1,0,10-Jan,0 / 8,0 / 2,0 / 1,60,43.3,10-May,8-Feb,0 / 2,0 / 1,70.8,53.3,10-Jun,8-Mar,0 / 2,0 / 1,91,32,87,30,1.7,1.5,63,39.1,39.1,30,63.2,36.7,70.1,46.7,"Center for Reproductive Medicine, Advanced Reproductive Technologies",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MN
232,REPRODUCTIVE MEDICINE CENTER,,MINNEAPOLIS,MINNESOTA,100%,73%,0%,<1%,0%,18%,24%,15%,21%,9%,62%,5%,5%,10%,36%,310,2,"William R. Phipps, MD",147,44,34,17,10,1,2,13.6,2.9,0 / 17,10-Mar,0 / 1,1.9,1.8,2.3,2.7,4,3,36.5,27.1,20.6,18.6,16-Jan,0 / 3,9.5,3.1,0,0 / 15,0 / 4,0 / 1,31.3,27.3,20.6,17-May,0 / 10,0 / 1,0,0,0,0 / 17,0 / 10,0 / 1,43.5,34.1,29.4,17-May,0 / 10,0 / 1,49,38.6,35.3,17-Jun,10-Jan,0 / 1,134,38,29,16,4,1,34.3,31.6,24.1,16-May,0 / 4,0 / 1,0,0,0,0 / 16,0 / 4,0 / 1,47.8,39.5,34.5,16-May,0 / 4,0 / 1,53.7,44.7,41.4,16-Jun,4-Jan,0 / 1,72,17,12,6,1,0,63.9,17-Dec,12-Jul,6-May,0 / 1,,0,0 / 17,0 / 12,0 / 6,0 / 1,,88.9,15 / 17,12-Oct,6-May,0 / 1,,31,12,3,2,0,0,26,8,2,1,0,0,1.3,2,,,,,1.3,1.4,2,2,,,22.9,11-Feb,4-Feb,2-Jan,,,23.1,8-Feb,0 / 2,1-Jan,,,0,0 / 8,0 / 2,0 / 1,,,23.1,8-Feb,2-Jan,1-Jan,,,26.9,8-Mar,2-Feb,1-Jan,,,7,0,7,0,2,,14-Jul,,7-Feb,,7-Mar,,7-Apr,,Reproductive Medicine Center,Yes,No,Yes,Yes,Yes,Yes,Yes,0,MN
233,MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,,ROCHESTER,MINNESOTA,100%,57%,0%,<1%,2%,10%,27%,26%,7%,1%,46%,5%,11%,6%,25%,324,43,"Charles C. Coddington, MD",79,20,17,11,2,0,19,0,17-Jan,11-Apr,0 / 2,,1.9,2.7,3,2.9,3,,26.7,21.6,23.1,5,0 / 6,,9.1,19-Feb,0 / 13,0 / 6,0 / 2,,19,20,17-Mar,11-Jan,0 / 2,,1.3,0,0 / 17,0 / 11,0 / 2,,25.3,35,17-Apr,11-Jan,0 / 2,,29.1,40,17-Jun,11-Jan,0 / 2,,55,19,13,7,2,0,27.3,19-Apr,13-Mar,7-Jan,0 / 2,,1.8,0 / 19,0 / 13,0 / 7,0 / 2,,36.4,19-Jul,13-Apr,7-Jan,0 / 2,,41.8,19-Aug,13-Jun,7-Jan,0 / 2,,23,8,6,1,0,0,65.2,8-Apr,6-Mar,1-Jan,,,4.3,0 / 8,0 / 6,0 / 1,,,87,8-Jul,6-Apr,1-Jan,,,85,27,14,2,1,0,77,26,13,0,1,0,1.2,1.6,1.9,,,,2,1.8,2.1,,1,,29,27.1,11.1,,0 / 1,,23.4,34.6,13-Jan,,0 / 1,,0,0,0 / 13,,0 / 1,,36.4,42.3,13-Feb,,0 / 1,,46.8,46.2,13-Feb,,0 / 1,,6,17,5,17,1.6,2.1,8-Feb,25.7,5-Feb,17-Jun,5-Feb,17-Jul,5-Feb,17-Aug,Mayo Clinic Assisted Reproductive Technologies,Yes,No,Yes,Yes,Yes,Yes,Yes,0,MN
234,REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES,,WOODBURY,MINNESOTA,100%,97%,0%,2%,2%,17%,22%,9%,21%,6%,61%,27%,5%,11%,41%,510,17,"Jacques P. Stassart, MD",193,49,31,20,1,1,1,2,6.5,15,0 / 1,0 / 1,1.9,2.1,2.5,3.5,2,3,45.5,30.2,15.3,4.3,0 / 2,0 / 3,18.1,4.7,0,0 / 12,0 / 1,0 / 1,35.2,32.7,9.7,5,0 / 1,0 / 1,0.5,0,0,0,0 / 1,0 / 1,54.9,40.8,19.4,5,0 / 1,0 / 1,58.5,49,29,10,0 / 1,0 / 1,184,46,29,13,1,1,37,34.8,10.3,13-Jan,0 / 1,0 / 1,0.5,0,0,0 / 13,0 / 1,0 / 1,57.6,43.5,20.7,13-Jan,0 / 1,0 / 1,61.4,52.2,31,13-Feb,0 / 1,0 / 1,113,24,9,2,0,0,60.2,66.7,9-Mar,2-Jan,,,0.9,0,0 / 9,0 / 2,,,93.8,83.3,9-Jun,2-Jan,,,74,19,15,7,4,3,72,19,14,7,4,3,1.6,1.4,2,0.9,,,1.4,1.3,1.5,1.6,3,2,33.7,16,28.6,11-Jan,12-Jan,0 / 6,29.2,19-Apr,14-Jun,7-Jan,4-Jan,0 / 3,0,0 / 19,0 / 14,0 / 7,0 / 4,0 / 3,33.3,19-Apr,14-Jun,7-Jan,4-Jan,0 / 3,44.4,19-Jun,14-Jun,7-Jan,4-Jan,0 / 3,49,27,46,27,1.7,1.4,43.8,28.9,32.6,14.8,47.8,22.2,63,33.3,Reproductive Medicine & Infertility Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MN
235,"MISSISSIPPI REPRODUCTIVE MEDICINE, PLLC",,FLOWOOD,MISSISSIPPI,100%,86%,18%,0%,4%,30%,18%,24%,29%,29%,23%,8%,3%,31%,17%,110,9,"Randall S. Hines, MD",28,16,7,3,2,1,3.6,16-Jan,7-Jan,3-Feb,0 / 2,0 / 1,2,2.2,2,1,2.5,4,26.1,17.9,4-Jan,0 / 1,0 / 5,0 / 4,4.8,0 / 12,0 / 2,,0 / 2,0 / 1,21.4,16-Feb,0 / 7,0 / 3,0 / 2,0 / 1,0,0 / 16,0 / 7,0 / 3,0 / 2,0 / 1,32.1,16-Mar,0 / 7,0 / 3,0 / 2,0 / 1,32.1,16-Apr,7-Jan,3-Jan,0 / 2,0 / 1,23,13,2,1,2,1,26.1,13-Feb,0 / 2,0 / 1,0 / 2,0 / 1,0,0 / 13,0 / 2,0 / 1,0 / 2,0 / 1,39.1,13-Mar,0 / 2,0 / 1,0 / 2,0 / 1,39.1,13-Apr,2-Jan,1-Jan,0 / 2,0 / 1,9,4,1,1,0,0,9-Jun,4-Feb,0 / 1,0 / 1,,,0 / 9,0 / 4,0 / 1,0 / 1,,,9-Sep,4-Mar,0 / 1,0 / 1,,,19,11,1,0,0,1,18,11,1,0,0,1,1.3,1.6,1,,,,1.6,1.5,2,,,1,34.5,17-Feb,2-Jan,,,0 / 1,18-Aug,0 / 11,1-Jan,,,0 / 1,0 / 18,0 / 11,0 / 1,,,0 / 1,18-Aug,0 / 11,1-Jan,,,0 / 1,18-Sep,11-Feb,1-Jan,,,0 / 1,8,4,7,4,1.7,1.8,12-Jul,7-Feb,7-Mar,4-Feb,7-Apr,4-Feb,7-May,4-Feb,"Mississippi Reproductive Medicine, PLLC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MS
